distance,generated_time,instantaneous_speed,latitude,longitude
693.853,"2014-01-08 16:20:07",0.289713,-36.8544,174.767
693.853,"2014-01-08 16:20:09",0.281625,-36.8544,174.767
693.853,"2014-01-08 16:20:10",0.27481,-36.8544,174.767
693.853,"2014-01-08 16:20:12",0.257914,-36.8544,174.767
693.853,"2014-01-08 16:20:13",0.24786,-36.8544,174.767
693.853,"2014-01-08 16:20:14",0.236355,-36.8544,174.767
693.853,"2014-01-08 16:20:16",0.224958,-36.8544,174.767
693.853,"2014-01-08 16:20:17",0.200806,-36.8544,174.767
693.853,"2014-01-08 16:20:19",0.175894,-36.8544,174.767
693.853,"2014-01-08 16:20:21",0.163608,-36.8544,174.767
693.853,"2014-01-08 16:20:22",0.139229,-36.8544,174.767
693.853,"2014-01-08 16:20:24",0.116764,-36.8544,174.767
693.853,"2014-01-08 16:20:26",0.106153,-36.8544,174.767
693.853,"2014-01-08 16:20:27",0.0861422,-36.8544,174.767
693.853,"2014-01-08 16:20:29",0.0627595,-36.8544,174.767
693.853,"2014-01-08 16:20:31",0.0518116,-36.8544,174.767
693.853,"2014-01-08 16:20:32",0.0743727,-36.8544,174.767
693.853,"2014-01-08 16:20:34",0.0876064,-36.8544,174.767
693.853,"2014-01-08 16:20:35",0.0963738,-36.8544,174.767
693.853,"2014-01-08 16:20:36",0.104623,-36.8544,174.767
693.853,"2014-01-08 16:20:38",0.117528,-36.8544,174.767
693.853,"2014-01-08 16:20:39",0.121884,-36.8544,174.767
693.853,"2014-01-08 16:20:40",0.124835,-36.8544,174.767
693.853,"2014-01-08 16:20:42",0.127031,-36.8544,174.767
693.853,"2014-01-08 16:20:43",0.126448,-36.8544,174.767
693.853,"2014-01-08 16:20:44",0.12489,-36.8544,174.767
693.853,"2014-01-08 16:20:46",0.11944,-36.8544,174.767
693.853,"2014-01-08 16:20:48",0.111698,-36.8544,174.767
693.853,"2014-01-08 16:20:49",0.107157,-36.8544,174.767
693.853,"2014-01-08 16:20:50",0.102211,-36.8544,174.767
693.853,"2014-01-08 16:20:51",0.0971173,-36.8544,174.767
693.853,"2014-01-08 16:20:53",0.0864001,-36.8544,174.767
693.853,"2014-01-08 16:20:55",0.0755167,-36.8544,174.767
